"Id_Intersection","Date","Longitude","Latitude","Intersection_1","Intersection_2","Autos","Bus","Camions","Camions articules","Camions legers","Camions Lourds","Camions porteurs","Motos","Pietons","Tous","Velos"
179,2019-09-18,-73.62901,45.490523,"Lacombe","Victoria",14654,160,0,0,0,206,0,0,1556,0,70
179,2019-09-19,-73.62901,45.490523,"Lacombe","Victoria",14878,169,0,0,0,233,0,0,1684,0,97
180,2019-04-17,-73.635729,45.49351,"La Peltrie","Victoria",7130,75,0,0,0,101,0,0,3730,0,87
184,2018-05-02,-73.644331,45.497353,"Mackenzie","Victoria",9956,81,0,0,0,176,0,0,2054,0,192
185,2021-04-20,-73.622905,45.511472,"Boisé","Northcrest/Van Horne",7064,200,0,0,0,156,0,0,931,0,27
186,2017-11-14,-73.620208,45.493699,"Queen-Mary","Face au 3800 (Oratoire)",10591,285,270,0,0,0,0,0,1279,0,11
188,2019-04-17,-73.630864,45.491351,"Saint-Kevin","Victoria",6580,72,0,0,0,101,0,0,2229,0,97
189,2017-02-22,-73.649529,45.50072,"Savane","Victoria",7025,45,175,0,0,0,0,0,127,0,0
189,2019-02-20,-73.649529,45.50072,"Savane","Victoria",5811,43,0,0,0,132,0,0,59,0,1
191,2019-08-06,-73.621048,45.513552,"Van Horne","Vimy/Pratt",16568,244,0,0,0,491,0,0,1275,0,171
191,2019-08-07,-73.621048,45.513552,"Van Horne","Vimy/Pratt",15836,241,0,0,0,476,0,0,1201,0,87
191,2019-08-08,-73.621048,45.513552,"Van Horne","Vimy/Pratt",17503,245,0,0,0,464,0,0,1133,0,90
192,2018-11-27,-73.640486,45.491328,"Van Horne","Westbury",11740,340,0,0,0,286,0,0,2109,0,2
192,2018-11-28,-73.640486,45.491328,"Van Horne","Westbury",13217,340,0,0,0,245,0,0,2401,0,5
192,2018-11-29,-73.640486,45.491328,"Van Horne","Westbury",14129,348,0,0,0,274,0,0,2472,0,9
194,2019-02-06,-73.643311,45.496916,"Vézina","Victoria",6564,75,0,0,0,107,0,0,3005,0,5
194,2019-11-19,-73.643311,45.496916,"Vézina","Victoria",12630,149,0,0,0,233,0,0,4885,0,15
194,2019-11-20,-73.643311,45.496916,"Vézina","Victoria",13390,147,0,0,0,234,0,0,5080,0,12
