,date,Temp,Rel Hum,Wind Spd,Dew Point Temp,Stn_Press,Wind Chill,Wind Dir,weekdays,days
189,2012-07-08,21.166666666666668,44.0,8.666666666666666,8.0875,100.32791666666668,,26.375,1,6
190,2012-07-09,20.070833333333333,40.708333333333336,6.25,5.9875,100.59708333333332,,23.666666666666668,0,0
191,2012-07-10,21.991666666666664,44.458333333333336,6.333333333333333,8.887500000000001,100.77,,22.83333333333333,0,1
192,2012-07-11,22.59166666666667,37.083333333333336,4.5,6.929166666666667,101.19125,,22.416666666666668,0,2
193,2012-07-12,25.27916666666667,43.5,5.791666666666667,11.65,101.06958333333334,,24.125,0,3
194,2012-07-13,26.804166666666664,45.583333333333336,6.0,13.529166666666669,101.06625,,24.33333333333333,0,4
195,2012-07-14,28.03333333333333,49.41666666666666,6.416666666666667,16.183333333333334,100.955,,23.791666666666668,1,5
196,2012-07-15,26.004166666666663,61.333333333333336,5.333333333333333,17.7875,100.63041666666668,,23.291666666666668,1,6
197,2012-07-16,24.745833333333334,69.41666666666667,5.375,18.516666666666666,100.07083333333333,,28.95833333333333,0,0
198,2012-07-17,23.42083333333333,80.0,4.833333333333333,19.64583333333333,99.56333333333332,,21.695652173913043,0,1
199,2012-07-18,21.25,57.125,8.083333333333334,11.958333333333334,100.29625,,23.541666666666668,0,2
200,2012-07-19,19.066666666666663,50.708333333333336,6.708333333333333,8.345833333333333,100.83041666666666,,17.291666666666668,0,3
201,2012-07-20,19.591666666666665,53.333333333333336,6.125,9.458333333333334,101.05041666666666,,14.083333333333334,0,4
202,2012-07-21,22.0125,54.16666666666666,4.583333333333333,11.883333333333333,100.9,,23.45833333333333,1,5
203,2012-07-22,25.558333333333334,54.875,5.791666666666667,15.758333333333333,100.72208333333332,,21.875,1,6
204,2012-07-23,24.2875,70.45833333333333,6.916666666666667,18.216666666666665,100.1475,,21.666666666666668,0,0
205,2012-07-24,21.1375,68.375,8.416666666666666,14.545833333333334,99.61958333333332,,21.0,0,1
206,2012-07-25,20.541666666666668,56.875,7.0,11.4625,100.17166666666668,,21.25,0,2
207,2012-07-26,20.591666666666665,68.75,4.291666666666667,14.570833333333333,99.57666666666668,,18.5,0,3
208,2012-07-27,21.683333333333334,66.25,5.583333333333333,14.770833333333334,100.10208333333333,,11.916666666666666,0,4
209,2012-07-28,21.95833333333333,53.333333333333336,7.75,11.833333333333334,100.76,,6.208333333333333,1,5
210,2012-07-29,22.5875,61.54166666666666,6.958333333333333,14.745833333333332,100.77458333333334,,18.95833333333333,1,6
211,2012-07-30,24.870833333333334,57.0,5.125,15.183333333333332,100.75458333333334,,22.5,0,0
212,2012-07-31,25.120833333333334,63.54166666666666,6.458333333333333,17.454166666666666,100.43708333333332,,20.416666666666668,0,1
213,2012-08-01,23.53333333333333,72.75,4.708333333333333,18.1375,100.12666666666668,,22.83333333333333,0,2
214,2012-08-02,25.55,65.08333333333333,5.333333333333333,17.958333333333332,100.10541666666668,,24.08695652173913,0,3
215,2012-08-03,25.09166666666667,58.75,5.791666666666667,16.2375,100.55916666666668,,27.95833333333333,0,4
216,2012-08-04,26.27916666666667,56.125,5.666666666666667,16.570833333333333,101.13833333333334,,14.125,1,5
217,2012-08-05,25.825,74.58333333333333,6.958333333333333,20.883333333333333,100.2775,,21.166666666666668,1,6
218,2012-08-06,20.3375,62.41666666666666,5.25,12.804166666666667,100.5875,,25.83333333333333,0,0
219,2012-08-07,22.7125,61.625,6.0,14.408333333333331,100.49291666666666,,22.25,0,1
220,2012-08-08,22.754166666666663,68.79166666666667,4.208333333333333,16.2625,100.57291666666669,,17.375,0,2
221,2012-08-09,21.175,78.70833333333333,8.208333333333334,17.3,100.52416666666666,,6.625,0,3
222,2012-08-10,19.558333333333334,90.16666666666669,7.5,17.904166666666665,100.25791666666667,,2.7916666666666665,0,4
223,2012-08-11,20.5625,87.5,8.041666666666666,18.258333333333333,100.18166666666669,,6.625,1,5
224,2012-08-12,22.308333333333334,76.20833333333333,4.666666666666667,17.591666666666665,100.26125,,23.58333333333333,1,6
225,2012-08-13,22.225,74.79166666666667,4.458333333333333,17.425,100.37624999999998,,23.75,0,0
226,2012-08-14,22.5875,71.95833333333333,5.083333333333333,17.14166666666667,100.35916666666668,,23.75,0,1
227,2012-08-15,21.9,74.45833333333333,4.833333333333333,16.904166666666665,100.26416666666668,,28.875,0,2
228,2012-08-16,22.09166666666667,66.41666666666667,5.291666666666667,15.270833333333334,100.26291666666668,,20.541666666666668,0,3
229,2012-08-17,21.58333333333333,71.79166666666667,5.166666666666667,16.179166666666667,99.85,,22.08695652173913,0,4
230,2012-08-18,18.15,58.958333333333336,4.958333333333333,9.6625,100.32833333333332,,26.70833333333333,1,5
231,2012-08-19,19.416666666666668,59.41666666666666,5.375,10.925,100.48416666666668,,23.416666666666668,1,6
232,2012-08-20,20.566666666666663,55.333333333333336,5.083333333333333,10.854166666666666,100.30625,,26.666666666666668,0,0
233,2012-08-21,19.7375,53.29166666666666,4.125,9.795833333333333,100.70791666666666,,27.863636363636363,0,1
234,2012-08-22,21.425,55.583333333333336,5.416666666666667,11.883333333333333,100.9625,,22.83333333333333,0,2
235,2012-08-23,22.7875,60.583333333333336,5.708333333333333,14.620833333333332,100.965,,25.33333333333333,0,3
236,2012-08-24,22.820833333333336,55.04166666666666,5.666666666666667,12.870833333333332,101.34125,,8.875,0,4
237,2012-08-25,25.495833333333334,53.458333333333336,4.875,14.875,101.4425,,20.0,1,5
238,2012-08-26,25.92083333333333,55.083333333333336,5.75,15.895833333333334,101.4375,,20.541666666666668,1,6
239,2012-08-27,23.71666666666667,68.20833333333333,6.208333333333333,17.308333333333334,100.68666666666668,,21.625,0,0
240,2012-08-28,20.879166666666663,62.208333333333336,9.083333333333334,12.741666666666667,100.24291666666666,,13.625,0,1
241,2012-08-29,19.325,45.5,6.416666666666667,6.883333333333333,100.57916666666668,,26.20833333333333,0,2
242,2012-08-30,21.775,60.333333333333336,8.166666666666666,13.570833333333333,100.33333333333331,,22.08333333333333,0,3
243,2012-08-31,22.98333333333333,66.54166666666667,7.208333333333333,16.308333333333334,100.09208333333332,,20.666666666666668,0,4
244,2012-09-01,20.183333333333334,48.5,6.791666666666667,8.4125,100.9925,,9.625,1,5
245,2012-09-02,19.8625,47.125,4.916666666666667,7.666666666666667,101.08833333333332,,18.33333333333333,1,6
246,2012-09-03,21.3875,51.208333333333336,4.375,10.320833333333333,101.07833333333332,,20.227272727272727,0,0
247,2012-09-04,21.854166666666668,73.08333333333333,5.5,16.704166666666666,100.55583333333334,,18.166666666666668,0,1
248,2012-09-05,22.3125,75.29166666666667,5.375,17.375,100.09166666666664,,13.75,0,2
249,2012-09-06,23.366666666666664,67.91666666666667,5.041666666666667,16.783333333333335,100.095,,23.291666666666668,0,3
250,2012-09-07,21.85,57.16666666666666,4.75,12.654166666666669,100.27333333333333,,25.0,0,4
251,2012-09-08,21.04583333333333,73.08333333333333,8.166666666666666,15.966666666666669,99.19958333333334,,20.45833333333333,1,5
252,2012-09-09,14.845833333333331,65.54166666666667,5.708333333333333,8.262500000000001,100.19833333333334,,22.125,1,6
253,2012-09-10,13.854166666666666,58.75,8.541666666666666,5.6125,100.84166666666664,,26.75,0,0
254,2012-09-11,16.162499999999998,57.04166666666666,6.291666666666667,7.395833333333333,101.335,,24.291666666666668,0,1
255,2012-09-12,20.75,56.875,5.458333333333333,11.416666666666666,101.5,,20.666666666666668,0,2
256,2012-09-13,22.516666666666666,54.083333333333336,5.083333333333333,12.470833333333331,101.485,,20.95833333333333,0,3
257,2012-09-14,21.58333333333333,66.5,5.833333333333333,14.766666666666666,101.0075,,19.125,0,4
258,2012-09-15,14.613636363636363,69.45454545454545,7.045454545454546,8.722727272727273,100.9159090909091,,22.40909090909091,1,5
259,2012-09-16,11.866666666666667,58.29166666666666,5.375,3.4250000000000003,100.94666666666666,,25.52173913043478,1,6
260,2012-09-17,17.579166666666666,65.75,5.0,10.766666666666666,100.62916666666666,,21.916666666666668,0,0
261,2012-09-18,17.766666666666666,83.83333333333333,6.208333333333333,14.945833333333333,99.58416666666666,,19.541666666666668,0,1
262,2012-09-19,10.791666666666666,64.0,5.916666666666667,3.7875,100.70375,,25.58333333333333,0,2
263,2012-09-20,13.504166666666668,62.833333333333336,5.916666666666667,6.058333333333334,101.21458333333334,,19.166666666666668,0,3
264,2012-09-21,16.204166666666666,77.625,5.791666666666667,12.191666666666668,100.68916666666668,,21.43478260869565,0,4
265,2012-09-22,16.175,84.66666666666667,5.875,13.525,100.00875,,20.5,1,5
266,2012-09-23,12.054166666666667,65.79166666666667,5.416666666666667,5.633333333333333,100.51458333333332,,24.666666666666668,1,6
267,2012-09-24,11.6375,64.5,5.791666666666667,4.733333333333333,100.85458333333334,,22.541666666666668,0,0
268,2012-09-25,14.983333333333334,60.833333333333336,6.375,7.404166666666666,100.55333333333334,,21.166666666666668,0,1
269,2012-09-26,15.454166666666666,69.45833333333333,6.583333333333333,9.854166666666666,100.54875,,18.70833333333333,0,2
270,2012-09-27,11.491666666666667,59.458333333333336,5.5,3.6875,101.465,,23.20833333333333,0,3
271,2012-09-28,11.504166666666668,72.41666666666667,5.0,6.5375000000000005,101.19458333333334,,13.090909090909092,0,4
272,2012-09-29,11.245833333333332,86.375,9.458333333333334,9.025,100.76083333333334,,5.166666666666667,1,5
