"Date","Autos","Autres","Bus","Camions","Camions.articules","Camions.legers","Camions.Lourds","Camions.porteurs","Ecoliers","Illegaux","Motos","Non.Utilise","Pietons","Tous","Velos","Cluster_1","Cluster_2","Cluster_3","Cluster_4","Cluster_5","Cluster_6","Cluster_7","Cluster_8","Cluster_9","Cluster_10"
"2013-09-18",51680,0,560,3736,0,0,0,0,0,0,0,0,291,0,136,0,0,0,0,0,1,2,0,0,0
"2013-09-19",38328,0,223,1593,0,0,0,0,0,0,0,0,1783,0,117,1,0,0,1,1,0,0,1,0,0
"2013-09-26",19744,0,394,580,0,0,0,0,0,0,0,4,1253,0,67,0,0,0,0,0,0,0,0,0,1
"2013-10-01",26507,0,381,383,0,0,1,0,0,0,0,2,56,0,0,0,1,1,0,0,0,0,0,0,0
"2013-10-02",32852,0,446,681,0,0,1,0,0,0,0,0,6247,0,1084,0,0,0,0,0,0,1,0,0,1
"2013-10-03",64290,0,678,1211,0,0,0,0,0,0,0,0,2165,0,275,0,1,0,2,0,0,0,1,0,0
"2013-10-04",9792,0,95,324,0,0,0,0,0,0,0,104,24478,0,535,0,1,0,0,0,2,0,0,0,0
"2013-10-08",32998,51,454,571,0,0,53,0,0,0,0,0,455,0,639,0,0,0,0,0,0,1,1,1,0
"2013-10-09",31753,0,516,704,0,0,9,0,0,0,0,0,2101,0,90,0,1,0,0,0,2,1,0,0,0
"2013-10-10",35637,12,370,691,0,0,78,0,0,0,0,0,1379,0,114,0,0,0,1,0,0,1,0,0,0
"2013-10-16",5895,2,125,77,0,0,9,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,1,0
"2013-10-22",49881,0,941,2804,0,0,39,0,0,0,0,0,483,0,36,1,0,0,0,0,0,1,1,0,0
"2013-10-23",33419,1,372,2417,0,0,56,0,0,0,0,9,1177,0,74,0,0,0,0,1,0,1,0,1,1
"2013-10-24",73862,0,1281,2434,0,0,75,0,0,0,0,0,10201,0,433,1,1,1,0,0,0,1,0,1,0
"2013-10-25",12083,0,111,261,0,0,0,0,0,0,0,0,5763,0,2542,1,0,0,1,0,0,0,0,0,0
"2013-10-29",49359,0,1032,1054,0,0,0,0,0,1,0,0,9128,0,376,0,1,2,0,0,0,0,0,0,0
"2013-10-30",92525,0,1676,2144,0,0,182,0,0,0,0,2,30122,0,439,0,1,0,1,1,0,0,0,0,3
"2013-11-05",123698,0,1019,2893,0,0,105,0,0,0,0,2,5577,0,1468,2,1,1,0,1,0,2,0,0,0
"2013-11-06",60665,4,1192,952,0,0,117,0,0,0,0,0,3718,0,572,1,0,0,1,2,1,1,0,0,1
"2013-11-07",94720,37,1059,2426,0,27,38,0,0,756,0,0,13772,0,1434,0,2,0,2,0,2,0,0,1,0
"2013-11-11",13232,0,70,166,0,0,0,0,0,0,0,1,568,0,166,0,0,1,0,0,0,0,0,0,0
"2013-11-12",69308,0,1269,1495,0,0,13,0,19,0,0,0,7493,0,532,0,0,2,0,1,0,0,0,2,0
"2013-11-13",67653,0,1229,1560,0,0,217,0,0,0,0,0,23529,0,438,0,1,0,2,0,0,0,0,1,1
"2013-11-14",47564,0,1199,1001,0,0,15,0,0,0,0,0,15090,0,241,0,0,0,0,0,1,0,3,0,0
"2013-11-15",17928,0,222,425,0,0,0,0,0,0,0,0,119,0,22,0,0,0,0,0,1,0,0,0,0
"2013-11-19",54960,0,1350,1283,0,0,0,0,0,0,0,9,36502,0,353,0,0,0,1,0,1,0,1,0,2
"2013-11-20",104275,0,2324,7055,0,0,26,0,0,0,0,60,2470,0,123,0,0,2,0,0,1,2,0,1,0
"2013-11-21",93232,0,1230,7516,0,0,122,0,0,0,0,398,172,0,33,0,2,3,1,0,1,0,0,0,0
"2013-11-26",33706,0,542,2177,0,0,0,0,0,0,0,66,2181,0,291,0,1,0,0,1,0,1,0,0,0
"2013-12-03",64390,0,2373,2584,0,0,0,0,0,0,0,26,1353,0,19,0,0,0,1,0,0,0,1,0,1
"2013-12-11",22678,0,0,1521,0,0,0,0,0,3,0,0,17398,0,1848,1,1,0,0,0,0,0,1,1,0
"2013-12-12",15941,0,0,548,0,0,0,0,0,229,0,0,3186,0,550,0,0,1,0,1,0,0,0,1,0
"2014-01-09",12395,0,0,0,0,144,65,0,0,0,0,47,1128,0,0,0,0,1,0,0,0,1,0,0,1
"2014-01-15",16058,0,0,0,0,144,65,0,0,0,0,107,1128,0,0,1,0,1,0,2,0,0,0,0,0
"2014-01-16",4974,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,0,1,0,0,0,0,0
"2014-01-20",15242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2014-01-21",15027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"2014-01-22",16601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2014-01-27",12984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"2014-01-28",27633,0,493,1269,0,0,0,0,0,0,0,26,507,0,5,1,0,0,0,1,0,0,1,0,0
"2014-01-29",53895,0,0,869,0,0,0,0,0,0,0,0,553,0,0,0,0,0,0,1,0,2,0,0,0
"2014-01-30",27021,0,0,0,0,0,0,0,0,0,0,0,822,0,0,0,1,0,0,0,1,0,0,0,0
"2014-02-04",77075,0,1176,2738,0,0,0,0,0,0,0,65,9777,0,36,1,2,1,0,1,1,0,1,1,0
"2014-02-05",16363,0,0,0,0,0,0,0,0,0,0,0,2127,0,0,0,0,0,0,1,0,0,0,0,1
"2014-02-11",6513,0,0,0,0,0,0,0,0,0,0,0,1644,0,0,2,0,1,0,0,0,0,0,0,0
"2014-02-12",18416,0,0,181,0,0,0,0,0,0,0,0,2922,0,0,0,1,0,0,0,1,0,0,0,0
"2014-02-18",30209,0,0,123,0,0,0,0,0,0,0,0,3404,0,0,0,0,0,2,0,0,0,0,0,0
"2014-02-19",24248,0,0,110,0,0,0,0,0,0,0,67,3741,0,0,0,1,1,0,0,1,0,0,0,0
"2014-02-20",24399,0,0,0,0,0,0,0,0,0,0,0,12176,0,0,1,0,0,1,0,0,0,0,0,0
