"Date","SeverityDeadly","SeverityLight.Injury","SeverityMaterial.High","SeverityMaterial.Low","SeveritySevere.Injury","Accident_CategoryFixed.Object","Accident_CategoryMoving.Object","Accident_CategoryNo.Collision","Auth_Speed10","Auth_Speed100","Auth_Speed20","Auth_Speed30","Auth_Speed40","Auth_Speed50","Auth_Speed60","Auth_Speed70","Auth_Speed80","Auth_Speed90","Surface_CondDry","Surface_CondHard.snow","Surface_CondIce","Surface_CondMud","Surface_CondOil","Surface_CondSand.or.gravel","Surface_CondSlush","Surface_CondSnow","Surface_CondWater.accumulation","Surface_CondWet","IlluminationDay.and.clear","IlluminationDay.and.semi.dark","IlluminationNight.and.dark","IlluminationNight.and.lighted","EnvironmentCommercial","EnvironmentForest","EnvironmentIndustrial","EnvironmentPark","EnvironmentResidential","EnvironmentRural","EnvironmentSchool.area","WeatherBlack.Ice","WeatherClear.Sky","WeatherCloudy","WeatherDrizzle","WeatherFoggy","WeatherHeavy.Rain","WeatherSnow","WeatherSnowstorms","WeatherStrong.Wind","Temp","Rel.Hum","Wind.Spd","Dew.Point.Temp","Stn_Press","Wind.Dir","weekdays","days"
2012-03-06,0,5,6,13,0,2,21,0,0,0,0,1,1,6,0,0,0,0,17,2,2,0,0,0,0,2,0,1,16,0,0,7,11,0,0,0,12,0,1,0,22,0,0,0,0,1,0,0,-8.33333333333333,50.3333333333333,5.45833333333333,-17.1,102.375,23,0,1
2012-03-07,0,3,5,23,0,1,26,0,0,0,0,0,2,14,0,0,0,0,17,1,0,0,0,0,0,1,0,3,16,1,0,5,14,0,0,0,12,0,0,0,21,2,0,0,0,0,0,0,3.69166666666667,51.625,6.375,-5.4625,101.27625,17.3333333333333,0,2
2012-03-08,0,4,9,10,0,1,22,0,0,0,0,0,4,5,0,0,0,0,7,0,0,0,0,0,0,1,0,13,14,1,0,6,7,0,0,0,15,0,0,0,6,8,6,0,0,0,0,0,8.5625,66.2083333333333,8.83333333333333,2.42916666666667,99.8283333333333,20.125,0,3
2012-03-09,0,0,5,6,0,1,8,0,0,0,0,0,1,4,0,0,0,0,6,0,0,0,0,0,0,0,0,2,4,0,0,4,3,0,0,0,7,0,0,0,6,0,0,1,0,1,0,0,-2.2125,64.625,5.875,-8.0875,100.83875,23.7083333333333,0,4
2012-03-10,0,1,10,9,0,1,19,0,0,0,0,0,5,7,0,0,0,0,13,0,0,0,0,0,0,0,0,3,8,1,1,6,6,0,1,0,9,0,0,0,14,3,0,0,0,0,0,0,-3.725,56.0416666666667,8.5,-11.2791666666667,102.124583333333,15.7916666666667,1,5
2012-03-11,0,4,4,6,0,3,9,1,0,0,0,3,0,7,0,0,0,0,13,0,0,0,0,0,0,0,0,0,10,0,0,3,3,0,0,1,8,0,1,0,13,0,0,0,0,0,0,0,4.33333333333333,57.0416666666667,5.83333333333333,-3.72083333333333,101.46125,20.625,1,6
2012-03-12,0,1,10,6,0,4,8,0,0,0,0,1,1,5,0,0,0,0,11,0,0,0,0,0,0,1,0,2,11,0,0,3,8,0,0,0,4,0,2,0,12,2,1,0,0,0,0,0,8.025,58,6.33333333333333,0.1625,101.31,17.1304347826087,0,0
2012-03-13,0,1,6,9,0,1,15,0,0,0,0,0,1,7,0,0,0,0,3,0,0,0,0,0,0,0,0,11,13,1,0,1,8,0,0,0,7,0,0,0,4,3,6,0,0,1,0,0,4.74166666666667,83.0416666666667,6.375,1.9375,100.333333333333,11.0416666666667,0,1
2012-03-14,0,3,7,3,0,0,13,0,0,0,0,2,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,7,8,1,0,2,4,0,0,2,6,0,0,0,4,4,2,1,0,1,0,0,0.629166666666667,94.125,6.79166666666667,-0.1875,101.172083333333,5.20833333333333,0,2
2012-03-15,0,0,3,13,0,0,16,0,0,0,0,0,5,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,1,6,0,0,0,5,0,1,0,5,6,0,0,0,0,0,0,0.929166666666667,85.625,9.375,-1.2375,101.7125,2.83333333333333,0,3
